"","Cnat.AntOx_Prophenyloxidase","Mcav.AntOx_Prophenyloxidase","Oann.AntOx_Prophenyloxidase","Ofav.AntOx_Prophenyloxidase","Past.AntOx_Prophenyloxidase","Ppor.AntOx_Prophenyloxidase","Ssid.AntOx_Prophenyloxidase"
"1",0.556882591,9.074690402,0.703449502,0.247116423,3.622472849,1.006929193,3.876145588
"2",2.008466819,6.50075188,0.265551349,0.532378414,4.410526316,0.848150927,3.380645161
"3",0.698056344,4.225236167,0.381490163,0.261494444,0.376076555,0.894506675,0.963780419
"4",2.454829381,4.489786967,0.46196824,0.417718996,1.683199101,1.455343345,0.748749702
"5",2.446519525,4.862259915,0.801280228,0.28505372,3.88763475,1.698899209,0.598219814
"6",0.375420226,4.40497076,0.627388376,0.307319674,2.770965328,2.511654135,0.232809296
"7",2.273399716,2.030116959,0.343877149,0.284319045,1.326248743,1.698899209,0.335584537
"8",1.336842105,3.958749272,0.619792833,0.302695764,1.100143802,0.528533869,3.246550843
"9",0.578194238,4.347190009,NA,0.27082436,3.400358852,1.256280271,0.598097654
"10",1.038330887,4.304745023,NA,0.295488722,2.666346364,1.853452071,0.280896686
