"","X0","Cnat.Bac_thalassobius_mediterraneus","Mcav.Bac_thalassobius_mediterraneus","Oann.Bac_thalassobius_mediterraneus","Ofav.Bac_thalassobius_mediterraneus","Past.Bac_thalassobius_mediterraneus","Ppor.Bac_thalassobius_mediterraneus","Ssid.Bac_thalassobius_mediterraneus"
"1",0,0.07386616,0.008149105,0.102854548,0.019510926,0.01278175,0.818015996,0.125876429
"2",0,10.94339623,0.005906326,0.093135251,2.827581775,0.620252236,0.1214281,0.626301893
"3",0,0.339266782,0.008869704,0.123717717,0.10531859,0.01094032,2.290233131,0.66261246
"4",0,0.212434871,0.003339493,0.116350857,1.149735022,0.311443967,3.425097151,0.17938589
"5",0,1.330231574,0.002797281,0.002096128,0.058921732,0.121287299,0.00954411,0.831922548
"6",0,7.774679308,0.004774751,0.478683912,2.859221128,0.503912491,1.72252305,2.438406164
"7",0,0.217683844,0.008301117,0.008022946,0.07896764,0.073207674,0.086917089,1.215349965
"8",0,3.7546711,0.004118955,1.110223062,2.005848253,0.894820269,3.128502717,2.233423134
"9",0,0.066801421,0.007070236,NA,0.285011012,0.673449648,0.26155447,0.473590039
"10",0,3.049655078,0.00300666,NA,10.66295142,2.651986518,1.883285603,0.789406323
